Supplementary Table 1. Differentially methylated genes in mutant IDH-expressing human astrocytes;;;;;;;;;;;;
Probeset ID;Symbol;Normalized fold change (mut/wt);Delta-beta (P40 mut vs P40 wt);Chromosome;Mapinfo;Accession;UCSC Refgene group;Relation to UCSC CpG island;Q value;;;
cg20618989;;13,7202;0,2632755;19;3,98E+07;;;S_Shore;0,0400885;;;
cg20619296;;-5,23606;-0,1383395;1;1,06E+06;;;;0,0467632;;;
cg20621256;C9orf169;21,7783;0,18650355;9;1,40E+08;NM_199001;TSS1500;Island;0,044444;;;
cg20622131;CHRNB4;5,02904;0,1716615;15;7,89E+07;NM_000750;Body;S_Shelf;0,0391234;;;
cg20622964;ZNF774;1,93946;0,0459795;15;9,09E+07;NM_001004309;TSS200;N_Shore;0,0408874;;;
cg20624041;LIPT2;-4,64881;-0,164625;11;7,42E+07;NM_001144869;TSS1500;S_Shore;0,0467752;;;
cg20626045;RASSF4;48,2645;0,2642361;10;4,55E+07;NM_032023;Body;;0,0424192;;;
cg20626645;CACNA1D;15,7855;0,267239;3;5,35E+07;"NM_001128840;NM_001128839;NM_000720";"TSS200;TSS200;TSS200";Island;0,0426149;;;
cg20627099;;1,82634;0,065268;1;1,18E+07;;;Island;0,0398965;;;
cg20627174;;-13,892;-0,24912;2;1,20E+08;;;Island;0,0499532;;;
cg20627652;;7,16793;0,1381425;17;5,75E+07;;;;0,0481754;;;
cg20631044;C19orf54;15,0819;0,22557;19;4,13E+07;"NM_198476;NM_004596";"TSS200;TSS1500";N_Shore;0,0391234;;;
cg20631654;PMEPA1;9,39188;0,214442;20;5,63E+07;"NM_199170;NM_199169;NM_199171;NM_020182";"TSS200;TSS200;5'UTR;TSS1500";S_Shore;0,0448539;;;
cg20631768;TMEM90B;4,05378;0,1299545;20;2,44E+07;NM_024893;TSS1500;N_Shore;0,0407016;;;
cg20634227;ADM2;4,28882;0,155638;22;5,09E+07;NM_024866;Body;S_Shore;0,0435975;;;
cg20634266;;-6,96834;-0,185876;1;9,12E+07;;;Island;0,049467;;;
cg20636559;;5,18918;0,153624;15;1,01E+08;;;;0,0498941;;;
cg20637307;ERBB4;16,1037;0,13237165;2;2,13E+08;"NM_005235;NM_001042599";"TSS1500;TSS1500";S_Shore;0,0382745;;;
cg20639400;COX6B2;3,85136;0,1427165;19;5,59E+07;NM_144613;TSS200;Island;0,0382745;;;
cg20640281;HLF;-5,78763;-0,1542575;17;5,33E+07;NM_002126;TSS1500;N_Shore;0,0449595;;;
cg20640373;STAC3;6,03605;0,144935;12;5,76E+07;NM_145064;3'UTR;Island;0,0495171;;;
cg20640433;LAMA2;4,77148;0,167464;6;1,29E+08;"NM_001079823;NM_000426";"TSS200;TSS200";;0,0467632;;;
cg20640749;GLP1R;-4,12558;-0,128229;6;3,91E+07;NM_002062;3'UTR;;0,0403067;;;
cg20641280;LAGE3;8,52839;0,2275605;X;1,54E+08;NM_006014;TSS200;Island;0,0400885;;;
cg20642115;;-1,26646;-0,023988;10;1,34E+08;;;N_Shelf;0,0471783;;;
cg20642413;ZGPAT;2,41661;0,083488;20;6,23E+07;"NM_181485;NM_032527;NM_001083113;NM_003224;NM_001134758";"TSS1500;TSS1500;TSS1500;Body;Body";N_Shore;0,0438109;;;
cg20642417;GABBR1;2,29536;0,0895715;6;2,96E+07;"NM_021904;NM_021903;NM_001470";"Body;Body;Body";;0,0412126;;;
cg20643012;DNAH9;23,9301;0,305147;17;1,15E+07;NM_001372;TSS200;Island;0,0382745;;;
cg20643871;ISL2;6,64251;0,1975005;15;7,66E+07;NM_145805;Body;N_Shore;0,0391849;;;
cg20643991;SNCAIP;-3,58757;-0,0899125;5;1,22E+08;NM_005460;5'UTR;;0,0409757;;;
cg20644554;;10,1975;0,210994;13;2,43E+07;;;;0,040591;;;
cg20644976;FRAS1;-6,48291;-0,182167;4;7,91E+07;"NM_025074;NM_001166133";"Body;Body";;0,0327854;;;
cg20645729;LOC440461;-1,6134;-0,0479535;17;6,62E+07;NR_027283;TSS1500;Island;0,0422385;;;
cg20646950;PALM;7,89965;0,1599205;19;708709;"NM_001040134;NM_002579";"TSS1500;TSS1500";Island;0,0456669;;;
cg20647257;PRKAR1B;-3,60243;-0,1291395;7;601713;"NM_001164759;NM_001164762;NM_001164758;NM_001164760;NM_001164761;NM_002735";"Body;Body;Body;Body;Body;Body";Island;0,0491483;;;
cg20647485;;-3,23735;-0,086183;6;1,69E+08;;;Island;0,0410493;;;
cg20647694;;-3,11528;-0,111802;2;1,15E+07;;;;0,0487378;;;
cg20648004;;4,57887;0,150892;15;7,05E+07;;;;0,0434742;;;
cg20648141;;4,49759;0,0966065;11;1,12E+08;;;;0,0418743;;;
cg20648240;CACNG2;25,6447;0,312774;22;3,71E+07;NM_006078;TSS1500;Island;0,0408631;;;
cg20650545;GMFG;15,9296;0,2460965;19;3,98E+07;"NM_004877;NM_004877";"5'UTR;1stExon";;0,0426149;;;
cg20651988;C13orf38;5,05481;0,0867275;13;3,69E+07;"NM_001144986;NM_001144985;NM_001144984;NM_001144982;NM_001144981;NM_001144983";"TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,0403699;;;
cg20652042;LAG3;7,3227;0,163933;12;6,88E+06;NM_002286;Body;S_Shore;0,0440824;;;
cg20652759;DIP2C;3,14293;0,0726405;10;409280;NM_014974;Body;Island;0,0470729;;;
cg20653075;MIR124-2;-4,37784;-0,1034375;8;6,53E+07;NR_029669;TSS200;S_Shore;0,0469741;;;
cg20653518;;2,05688;0,076171;10;1,04E+08;;;Island;0,0438826;;;
cg20654074;DLL4;-1,61458;-0,0515455;15;4,12E+07;NM_019074;Body;Island;0,0422476;;;
cg20654256;GLRA4;4,13486;0,1209535;X;1,03E+08;NM_001024452;TSS1500;;0,0441019;;;
cg20654619;;4,4126;0,1022445;10;1,35E+08;;;S_Shore;0,046341;;;
cg20654875;;5,03009;0,160908;10;1,35E+08;;;N_Shore;0,0444696;;;
cg20655070;;-3,00588;-0,109356;19;4,03E+07;;;Island;0,0474336;;;
cg20658797;TBC1D3H;-1,51871;-0,044634;17;3,48E+07;"NM_001123392;NM_001001418";"TSS1500;Body";;0,0401629;;;
cg20659941;NEDD4L;2,35462;0,060845;18;5,59E+07;"NM_001144964;NM_015277;NM_001144966;NM_001144971;NM_001144965;NM_001144968;NM_001144967;NM_001144969;NM_001144970";"5'UTR;Body;TSS1500;5'UTR;5'UTR;Body;Body;Body;5'UTR";;0,0453747;;;
cg20661290;GLCE;7,81971;0,151342;15;6,95E+07;NM_015554;5'UTR;;0,0443046;;;
cg20662913;PDZD4;12,7555;0,2065505;X;1,53E+08;NM_032512;Body;Island;0,0387662;;;
cg20663219;STX1A;6,54671;0,1964945;7;7,31E+07;"NM_001165903;NM_004603";"Body;Body";N_Shelf;0,0382745;;;
cg20663365;;-10,3667;-0,1720425;2;1,28E+08;;;N_Shore;0,0443717;;;
cg20663777;;-4,91772;-0,164412;16;8,91E+07;;;;0,0473205;;;
cg20664201;INHBE;3,52221;0,0921645;12;5,78E+07;"NM_031479;NM_031479";"1stExon;5'UTR";;0,0456523;;;
cg20665341;;-1,94633;-0,0594945;4;1,53E+08;;;;0,0406687;;;
cg20665967;CRADD;13,4489;0,27439;12;9,42E+07;NM_003805;Body;;0,0412408;;;
cg20668275;KNDC1;6,64829;0,120214;10;1,35E+08;NM_152643;Body;S_Shore;0,0408894;;;
cg20668546;GFAP;1,83147;0,02243;17;4,30E+07;"NM_001131019;NM_002055";"Body;Body";S_Shore;0,0439042;;;
cg20669710;MRPS30;-6,02943;-0,1216625;5;4,48E+07;NM_016640;Body;S_Shore;0,0388151;;;
cg20670085;ZNF491;5,09293;0,1584155;19;1,19E+07;NM_152356;TSS1500;N_Shore;0,0471645;;;
cg20670274;ERICH1;-2,86472;-0,109506;8;681577;NM_207332;TSS1500;Island;0,0347648;;;
cg20670361;RUNX3;2,37482;0,0898835;1;2,53E+07;NM_001031680;Body;Island;0,046176;;;
cg20670923;VAPA;2,95757;0,0813445;18;9,92E+06;"NM_194434;NM_003574";"Body;Body";S_Shore;0,0426744;;;
cg20671649;PRDM16;3,90238;0,134713;1;3,31E+06;"NM_022114;NM_199454";"Body;Body";N_Shore;0,0460325;;;
cg20672131;;5,6761;0,1852995;1;9,47E+07;;;N_Shelf;0,0382745;;;
cg20672284;SOX5;-3,37141;-0,1298265;12;2,40E+07;"NM_152989;NM_006940";"Body;Body";;0,0458647;;;
cg20672477;PAX4;-3,51268;-0,094122;7;1,27E+08;"NM_006193;NM_006193";"5'UTR;1stExon";;0,0446703;;;
cg20673481;KCNS3;3,34661;0,1266385;2;1,81E+07;NM_002252;TSS1500;N_Shore;0,0416597;;;
cg20674577;PHACTR3;4,08096;0,131041;20;5,82E+07;NM_080672;TSS200;N_Shore;0,0464862;;;
cg20674725;NBEAL2;6,39202;0,192593;3;4,70E+07;NM_015175;TSS1500;Island;0,0382745;;;
cg20675616;TNXB;1,7978;0,051871;6;3,20E+07;NM_019105;Body;;0,045755;;;
cg20675703;;-3,34791;-0,122546;6;1,57E+08;;;;0,0410199;;;
cg20675971;SBNO2;2,69154;0,103154;19;1,17E+06;NM_014963;5'UTR;Island;0,0493068;;;
cg20676413;GTSF1;-7,48147;-0,180341;12;5,49E+07;NM_144594;3'UTR;;0,0382745;;;
cg20676572;PHF21B;12,0701;0,244154;22;4,53E+07;"NM_138415;NM_001135862";"Body;Body";S_Shore;0,0394993;;;
cg20678353;C15orf53;5,16144;0,153913;15;3,90E+07;NM_207444;TSS1500;;0,0382745;;;
cg20678442;;3,36278;0,130618;1;2,45E+08;;;Island;0,040088;;;
cg20679906;WFDC10B;4,43375;0,1594705;20;4,43E+07;"NM_172006;NM_172005;NM_172131";"TSS200;Body;TSS200";;0,0395738;;;
cg20679955;EMILIN2;4,46721;0,1170035;18;2,85E+06;NM_032048;TSS1500;Island;0,0399144;;;
cg20680284;;-4,89142;-0,13183;7;3,55E+07;;;S_Shelf;0,0422164;;;
cg20680754;ZNF461;2,65076;0,0678155;19;3,72E+07;"NM_153257;NM_153257";"1stExon;5'UTR";Island;0,0451376;;;
cg20681688;;3,04199;0,084514;13;1,13E+08;;;Island;0,0420224;;;
cg20682143;EGLN1;4,52564;0,1477635;1;2,32E+08;NM_022051;TSS1500;S_Shelf;0,0382745;;;
cg20683656;EBF2;7,13934;0,1783645;8;2,59E+07;NM_022659;TSS200;Island;0,0488536;;;
cg20684174;PPFIBP2;9,67214;0,232672;11;7,54E+06;NM_003621;5'UTR;;0,0382745;;;
cg20684197;FGF1;-3,81486;-0,1423365;5;1,42E+08;"NM_001144935;NM_001144934;NM_033136;NM_000800;NR_026696;NR_026695";"5'UTR;5'UTR;TSS1500;TSS1500;Body;Body";;0,0441019;;;
cg20684491;;-12,1867;-0,2593895;1;2,56E+07;;;S_Shore;0,0382745;;;
cg20685067;;37,5704;0,24995935;1;1,91E+07;;;N_Shelf;0,0405526;;;
cg20685713;;8,56522;0,2207355;1;1,56E+08;;;;0,0401629;;;
cg20686461;ARHGAP8;7,68979;0,153865;22;4,52E+07;"NM_181335;NM_181334;NM_001017526";"5'UTR;Body;5'UTR";N_Shore;0,0439042;;;
cg20686828;TDRKH;-16,5591;-0,2169855;1;1,52E+08;"NM_001083965;NM_001083963;NM_006862;NM_001083964";"TSS1500;TSS1500;TSS1500;TSS1500";S_Shore;0,043799;;;
cg20686918;SMOC2;-9,55882;-0,2276995;6;1,69E+08;"NM_022138;NM_001166412";"Body;Body";;0,0398626;;;
cg20687462;CCDC102A;-14,655;-0,221118;16;5,76E+07;NM_033212;TSS1500;Island;0,0382745;;;
cg20689647;LOC440461;4,00035;0,1493745;17;6,62E+07;NR_027283;TSS200;Island;0,0417852;;;
cg20690488;CYP2J2;-13,9675;-0,2625015;1;6,04E+07;NM_000775;1stExon;Island;0,0348674;;;
cg20691101;IDUA;-3,99185;-0,139192;4;991081;NM_000203;Body;N_Shore;0,0382745;;;
cg20691502;;7,29573;0,164785;1;1,86E+08;;;;0,0485621;;;
cg20691595;;-3,41275;-0,1268355;15;3,82E+07;;;;0,0438109;;;
cg20691617;;2,04671;0,0641805;2;8,51E+07;;;;0,0480054;;;
cg20692268;;6,925;0,137506;1;2,54E+07;;;;0,0391234;;;
cg20692597;SPSB4;-4,70543;-0,1651545;3;1,41E+08;NM_080862;5'UTR;S_Shelf;0,040591;;;
cg20692831;;2,07427;0,0790105;5;1,35E+08;;;;0,0433859;;;
cg20692980;;12,2398;0,254427;1;2,14E+08;;;Island;0,0386744;;;
cg20694241;CNTNAP3;-3,49428;-0,124753;9;3,91E+07;NM_033655;Body;N_Shore;0,0441019;;;
cg20696432;SLC5A10;4,34595;0,089716;17;1,89E+07;"NM_001042450;NM_001039999;NM_152351";"Body;Body;Body";;0,0449385;;;
cg20696875;DFFA;3,2774;0,04832895;1;1,05E+07;"NM_004401;NM_213566";"Body;Body";Island;0,034929;;;
cg20697044;CACNG4;4,09978;0,147449;17;6,50E+07;NM_014405;Body;;0,047441;;;
cg20697094;C4orf39;-4,02268;-0,0768975;4;1,66E+08;"NM_153027;NM_001012414";"TSS200;Body";Island;0,0460689;;;
cg20697464;TNS1;7,49005;0,149079;2;2,19E+08;NM_022648;5'UTR;;0,0433421;;;
cg20697984;NHLRC1;3,25286;0,1272615;6;1,81E+07;NM_198586;TSS200;Island;0,0448377;;;
cg20698113;PIM3;2,40949;0,038336;22;5,04E+07;NM_001001852;3'UTR;Island;0,0459077;;;
cg20699701;PRDM16;1,94267;0,044361;1;3,09E+06;"NM_022114;NM_199454";"Body;Body";;0,0401054;;;
cg20699711;;1,77121;0,033808;11;1,11E+07;;;;0,0435694;;;
cg20700863;;-4,53472;-0,090921;4;1,64E+06;;;;0,0493342;;;
cg20701486;NPHS2;-19,6943;-0,260061;1;1,80E+08;NM_014625;TSS200;Island;0,0459057;;;
cg20701556;RWDD3;-5,24655;-0,168238;1;9,57E+07;"NM_001128142;NM_015485";"TSS1500;TSS1500";N_Shore;0,0460325;;;
cg20701680;LOC283050;-2,30566;-0,062957;10;8,07E+07;"NR_024431;NR_024429;NR_015429";"Body;Body;Body";;0,0493705;;;
cg20702417;DNMT3A;2,11578;0,0385415;2;2,55E+07;"NM_022552;NM_175630;NM_175629";"5'UTR;5'UTR;5'UTR";;0,0382745;;;
cg20702683;;3,30062;0,11308;13;2,56E+07;;;S_Shelf;0,0419957;;;
cg20702913;KLF11;9,41514;0,171817;2;1,02E+07;NM_003597;TSS1500;Island;0,0382745;;;
cg20702935;WIZ;2,16973;0,045607;19;1,56E+07;"NM_021241;NR_031716";"5'UTR;TSS200";N_Shelf;0,044903;;;
cg20703261;;-5,53455;-0,1760865;6;4,14E+07;;;Island;0,0484238;;;
cg20703729;DLX6AS;-11,0315;-0,2544995;7;9,66E+07;"NR_015448;NM_005222";"Body;Body";S_Shore;0,0408631;;;
cg20703790;;8,53344;0,2279475;7;1,55E+08;;;S_Shelf;0,0463602;;;
cg20704404;;-3,22797;-0,126389;12;1,26E+08;;;N_Shore;0,047497;;;
cg20704530;C1orf168;6,09376;0,18512;1;5,73E+07;NM_001004303;Body;;0,0420056;;;
cg20704972;GABBR1;22,4512;0,324826;6;2,96E+07;"NM_021904;NM_021903;NM_001470";"Body;Body;Body";;0,0401845;;;
cg20705236;LOC388946;-2,46253;-0,0975135;2;4,67E+07;"NM_001145051;NM_001145051";"5'UTR;1stExon";N_Shore;0,0465049;;;
cg20705358;C8orf41;2,02731;0,03022385;8;3,34E+07;"NM_025115;NM_001102401";"1stExon;Body";N_Shore;0,0499266;;;
cg20705436;TXNDC15;1,45114;0,0111851;5;1,34E+08;"NM_024715;NM_024715";"1stExon;5'UTR";Island;0,0442317;;;
cg20705566;DCUN1D4;-5,87003;-0,0270598;4;5,27E+07;"NM_015115;NM_001040402;NM_001040402;NM_015115";"1stExon;1stExon;5'UTR;5'UTR";Island;0,0398626;;;
cg20705812;DLGAP2;-9,71186;-0,2410965;8;1,45E+06;NM_004745;TSS200;;0,0382745;;;
cg20706438;DOK1;6,75554;0,132238;2;7,48E+07;NM_001381;Body;S_Shore;0,042183;;;
cg20706778;FAM176A;3,66332;0,0736845;2;7,58E+07;NM_032181;TSS1500;;0,0474784;;;
cg20707066;PTPN5;-23,1202;-0,21462;11;1,88E+07;"NM_006906;NM_001039970;NM_032781";"5'UTR;5'UTR;5'UTR";N_Shelf;0,0442849;;;
cg20707156;;-3,4631;-0,133425;11;1,24E+08;;;S_Shelf;0,0496495;;;
cg20707222;ST6GALNAC3;7,59085;0,198602;1;7,65E+07;"NM_001160011;NM_152996";"TSS200;TSS200";Island;0,0461995;;;
cg20707323;;1,793;0,0280975;1;1,78E+08;;;Island;0,0447808;;;
cg20707970;CCDC37;5,67513;0,1673695;3;1,26E+08;NM_182628;5'UTR;S_Shore;0,0423647;;;
cg20709275;;10,0862;0,243232;15;8,23E+07;;;N_Shelf;0,048334;;;
cg20709948;ZNF552;10,5431;0,1868375;19;5,83E+07;NM_024762;TSS200;S_Shore;0,0404324;;;
cg20710266;NR2F2;14,2019;0,278088;15;9,69E+07;"NM_001145155;NM_021005;NM_001145156;NM_001145157";"Body;Body;Body;Body";S_Shore;0,0398478;;;
cg20710697;CAMK2A;2,24304;0,085436;5;1,50E+08;"NM_171825;NM_015981";"3'UTR;3'UTR";;0,0469731;;;
cg20712043;;2,32295;0,079862;5;1,64E+07;;;;0,0403116;;;
cg20712058;CHST13;-3,39404;-0,1084535;3;1,26E+08;NM_152889;TSS200;Island;0,0468556;;;
cg20712415;SCHIP1;5,59082;0,1568775;3;1,60E+08;NM_014575;Body;;0,047497;;;
cg20712808;;10,0178;0,24237;17;4,84E+07;;;;0,0445872;;;
cg20713035;TRIO;1,71108;0,022575;5;1,44E+07;NM_007118;Body;;0,0411625;;;
cg20713492;AQP10;-5,03569;-0,1384075;1;1,54E+08;NM_080429;TSS200;;0,0449118;;;
cg20713639;;7,83673;0,111536;11;6,52E+07;;;N_Shelf;0,0424192;;;
cg20713929;;3,66826;0,116267;10;1,03E+08;;;S_Shore;0,0444608;;;
cg20715438;RAP1GAP2;-1,40076;-0,0329225;17;2,75E+06;"NM_015085;NM_001100398";"Body;Body";;0,049107;;;
cg20716209;STAT3;5,56352;0,133873;17;4,05E+07;"NM_213662;NM_003150;NM_139276";"TSS1500;TSS1500;TSS1500";S_Shore;0,0449154;;;
cg20716774;ANKRD33B;2,53925;0,049913;5;1,06E+07;NM_001164440;Body;;0,0465721;;;
cg20717075;GPC6;-7,28412;-0,2122745;13;9,39E+07;NM_005708;Body;;0,040279;;;
cg20719304;;4,56011;0,1325385;12;1,09E+08;;;;0,0403319;;;
cg20720697;MYT1L;-14,0848;-0,2241455;2;1,86E+06;NM_015025;Body;;0,0400885;;;
cg20721022;PRKCG;-2,39976;-0,0731125;19;5,44E+07;NM_002739;Body;S_Shore;0,0410914;;;
cg20721320;AGXT2L2;2,14262;0,065692;5;1,78E+08;NM_153373;TSS1500;S_Shore;0,0456786;;;
cg20723350;PPARGC1A;3,42338;0,0603825;4;2,39E+07;"NM_013261;NM_013261";"1stExon;5'UTR";;0,0397962;;;
cg20723935;SHANK2;3,35961;0,126731;11;7,03E+07;"NM_133266;NM_012309";"3'UTR;3'UTR";S_Shelf;0,0487642;;;
cg20724073;MLX;-7,4722;-0,1504225;17;4,07E+07;"NM_198205;NM_198204;NM_170607";"Body;Body;Body";S_Shore;0,0435287;;;
cg20725670;CDC6;-1,90401;-0,0411985;17;3,84E+07;"NM_001254;NM_001254";"1stExon;5'UTR";S_Shore;0,0392635;;;
cg20726001;GREB1L;2,17396;0,0831245;18;1,88E+07;NM_001142966;TSS1500;Island;0,044291;;;
cg20726804;TGOLN2;9,3214;0,2184625;2;8,56E+07;NM_006464;Body;N_Shore;0,0431455;;;
cg20728514;PARVG;6,97725;0,1541615;22;4,46E+07;"NR_024427;NM_001137605";"TSS1500;TSS1500";;0,0495465;;;
cg20729301;;-7,11591;-0,2086585;2;2,33E+08;;;Island;0,0445292;;;
cg20729768;ATP2B2;4,25125;0,106989;3;1,04E+07;"NM_001683;NM_001001331";"Body;Body";N_Shore;0,0424192;;;
cg20731110;CETN1;3,82534;0,130635;18;580228;NM_004066;TSS200;Island;0,0387052;;;
cg20731469;NR2E1;-4,02357;-0,124226;6;1,08E+08;NM_003269;Body;Island;0,0427432;;;
cg20731798;C11orf74;-35,3946;-0,2727675;11;3,66E+07;"NM_138787;NM_000536";"5'UTR;5'UTR";;0,0422425;;;
cg20732304;MCF2L;10,4467;0,2400975;13;1,14E+08;"NM_001112732;NM_024979";"3'UTR;3'UTR";S_Shore;0,0418427;;;
cg20734569;SPINK8;-1,52382;-0,021994;3;4,83E+07;NM_001080525;3'UTR;;0,0445165;;;
cg20734982;MIR129-1;7,37388;0,189228;7;1,28E+08;NR_029596;Body;;0,044903;;;
cg20735050;AMOTL1;7,80603;0,1181155;11;9,45E+07;NM_130847;Body;;0,0404324;;;
cg20735069;;5,26718;0,174911;6;4,27E+07;;;S_Shore;0,046616;;;
cg20737185;C6orf186;-6,1919;-0,1951855;6;1,11E+08;NM_001123364;TSS200;Island;0,0436948;;;
cg20737812;KLHL25;20,5937;0,289854;15;8,63E+07;NM_022480;5'UTR;N_Shore;0,0347648;;;
cg20738433;;-2,1877;-0,084715;10;8,53E+07;;;Island;0,0461438;;;
cg20738689;ABLIM2;-1,3299;-0,0298185;4;8,16E+06;"NM_032432;NM_001130083;NM_001130087;NM_001130088;NM_001130084;NM_001130085;NM_001130086";"Body;Body;Body;Body;Body;Body;Body";Island;0,0410901;;;
cg20738807;;3,34787;0,1194845;3;1,27E+08;;;Island;0,0415501;;;
cg20739354;;6,24619;0,1484715;1;1,54E+08;;;S_Shelf;0,0399093;;;
cg20741040;;-3,31774;-0,0954275;1;2,31E+08;;;S_Shelf;0,0394157;;;
cg20741105;C7orf44;19,633;0,2874885;7;4,37E+07;NM_018224;Body;;0,0394993;;;
cg20742009;LAMP3;3,28534;0,0851105;3;1,83E+08;NM_014398;Body;N_Shore;0,040591;;;
cg20742389;GIPC1;6,13088;0,188713;19;1,46E+07;"NM_202470;NM_202468;NM_202494;NM_202467;NM_005716;NM_202469";"Body;Body;Body;Body;Body;Body";Island;0,046309;;;
cg20743749;;-1,87549;-0,064129;8;1,43E+08;;;Island;0,0382745;;;
cg20744362;C22orf34;-59,713;-0,4159335;22;5,01E+07;NR_026997;Body;;0,0424826;;;
cg20744625;EGR2;32,2853;0,2664585;10;6,46E+07;NM_001136178;5'UTR;Island;0,0412626;;;
cg20745419;C1orf230;16,445;0,20902;1;1,52E+08;NM_001144956;Body;S_Shelf;0,0450319;;;
cg20746035;PRICKLE3;2,90156;0,0984485;X;4,90E+07;NM_006150;TSS200;Island;0,0400885;;;
cg20746702;;1,63793;0,053521;1;1,61E+08;;;;0,0347648;;;
cg20746795;TMEM51;8,63123;0,2283855;1;1,55E+07;"NM_001136216;NM_001136217;NR_027136";"TSS1500;TSS1500;Body";N_Shore;0,0382745;;;
cg20746815;ASB8;1,95943;0,0466435;12;4,85E+07;NM_024095;Body;N_Shelf;0,0499486;;;
cg20747462;RAMP3;3,52642;0,135643;7;4,52E+07;NM_005856;Body;;0,040392;;;
cg20747741;KLHDC9;2,7142;0,0966745;1;1,61E+08;"NM_001007255;NM_001007256;NM_152366";"TSS1500;TSS1500;TSS1500";N_Shore;0,0460706;;;
cg20748397;MYO15A;5,36953;0,109316;17;1,81E+07;NM_016239;Body;;0,0397962;;;
cg20748559;MAP4K1;-7,56701;-0,197418;19;3,91E+07;"NM_001042600;NM_007181";"Body;Body";N_Shelf;0,042465;;;
cg20749047;DUSP9;7,20051;0,210896;X;1,53E+08;NM_001395;TSS1500;N_Shore;0,0428365;;;
cg20749576;C3orf27;-1,29098;-0,022219;3;1,28E+08;NM_007354;5'UTR;;0,0393963;;;
cg20749741;ACP1;18,4198;0,30556;2;264178;"NR_024080;NM_015677;NM_001159597;NM_004300;NM_001040649;NM_007099";"TSS1500;TSS200;TSS200;TSS1500;TSS1500;TSS1500";Island;0,0428;;;
cg20749769;ST14;-3,82984;-0,1155845;11;1,30E+08;NM_021978;Body;Island;0,040392;;;
cg20750832;;2,81396;0,094925;5;1,71E+08;;;Island;0,0411889;;;
cg20751395;KCNQ1;9,10882;0,2090905;11;2,59E+06;"NM_000218;NM_181798";"Body;Body";Island;0,0459881;;;
cg20752005;NPTX1;10,5966;0,1121092;17;7,84E+07;NM_002522;Body;N_Shore;0,0426744;;;
cg20752878;ASGR1;11,1606;0,2513605;17;7,08E+06;NM_001671;Body;S_Shelf;0,0449118;;;
cg20752903;10-Mar;-9,62688;-0,170168;17;6,09E+07;"NM_152598;NM_152598";"5'UTR;1stExon";Island;0,0455673;;;
cg20754261;;8,1869;0,150799;2;468330;;;Island;0,0404711;;;
cg20754305;OPRL1;5,3534;0,125733;20;6,27E+07;"NM_000913;NM_001007125;NM_182647";"5'UTR;TSS200;5'UTR";N_Shore;0,040279;;;
cg20756702;AQP12B;1,88786;0,0684975;2;2,42E+08;NM_001102467;Body;;0,0382745;;;
cg20756891;;-2,58131;-0,0497;5;1,71E+08;;;Island;0,0362941;;;
cg20757758;PPCS;10,3624;0,175967;1;4,29E+07;"NM_001077447;NM_032257;NM_001146192;NM_024664";"TSS200;TSS200;TSS200;TSS200";Island;0,0400885;;;
cg20758492;RPTOR;3,31146;0,0829625;17;7,85E+07;"NM_001163034;NM_020761";"Body;Body";S_Shore;0,0406926;;;
cg20760467;GGT1;4,27978;0,1359725;22;2,50E+07;"NM_001032364;NM_005265;NM_013430;NM_001032364;NM_005265";"5'UTR;1stExon;5'UTR;1stExon;5'UTR";;0,0390097;;;
cg20760920;;10,0553;0,199157;15;6,88E+07;;;;0,0446854;;;
cg20761810;;-2,102;-0,0574;8;1,41E+08;;;;0,0382745;;;
cg20761860;;3,40279;0,0959105;5;1,32E+08;;;Island;0,042183;;;
cg20762346;;5,63929;0,136551;6;1,69E+08;;;;0,0269135;;;
cg20762861;BANK1;-5,24696;-0,1283045;4;1,03E+08;"NM_017935;NM_001127507";"TSS200;TSS200";N_Shore;0,0441019;;;
cg20766090;INS-IGF2;10,8401;0,226883;11;2,16E+06;"NR_003512;NM_001127598;NM_000612;NM_001007139";"Body;Body;5'UTR;5'UTR";Island;0,0401629;;;
cg20767025;CCDC136;2,54639;0,0694225;7;1,28E+08;NM_022742;TSS1500;Island;0,0478957;;;
cg20767111;EN2;-12,1771;-0,2511475;7;1,55E+08;NM_001427;TSS1500;Island;0,0419875;;;
cg20767845;SASH3;4,79661;0,1207945;X;1,29E+08;NM_018990;Body;;0,0493403;;;
cg20767912;;8,60499;0,2190645;3;1,58E+08;;;;0,0466856;;;
cg20768326;;5,20391;0,106779;11;2,09E+06;;;;0,0424135;;;
cg20768429;KCNQ1;4,84701;0,152178;11;2,57E+06;"NM_000218;NM_181798";"Body;Body";;0,0401845;;;
cg20768445;;-2,00591;-0,0656535;18;7,66E+07;;;Island;0,0426082;;;
cg20768506;;1,42712;0,035942;7;517708;;;S_Shore;0,0482824;;;
cg20768726;RSPH1;7,35826;0,140195;21;4,39E+07;NM_080860;TSS1500;Island;0,0403319;;;
cg20769842;MKRN3;1,63938;0,0294405;15;2,38E+07;NM_005664;TSS1500;;0,0452493;;;
cg20770504;;-9,66262;-0,1822335;5;8,21E+07;;;;0,0383386;;;
cg20771240;LOC100128239;19,7181;0,2999935;11;1,34E+08;NR_027276;Body;N_Shore;0,042818;;;
cg20772593;ACTBL2;8,04098;0,208855;5;5,68E+07;NM_001017992;TSS200;;0,0381927;;;
